OBJECTID,UID,ID_0,ISO,NAME_0,ID_1,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,CCN_1,CCA_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,CCN_3,CCA_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,ID_4,NAME_4,VARNAME_4,CCN_4,CCA_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,ID_5,NAME_5,CCN_5,CCA_5,TYPE_5,ENGTYPE_5,REGION,VARREGION,Shape_Leng,Shape_Area
215865,215865.0,215,ESP,Spain,7,Ceuta y Melilla,,,ES.ML,0,19,Ciudades Autónomas,Autonomous City,Unknown,Present,,31,Ceuta,,,ES.CE.CE,0,51,Ciudad Autónoma,Autonomous City,Unknown,Present,,231,n.a. (100),,,,0,,Comarca,Comarca,Unknown,Present,,5822,Ceuta,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.403264179529,0.0020723462676
215871,215871.0,215,ESP,Spain,8,Comunidad de Madrid,Madrid|Communauté de Madrid| Community of Madrid|Comunidad de Madrid |Comunidade de Madrid|Comunitat de Madrid,,ES.MD,0,,Comunidad Autónoma,Autonomous Community,1983,Present,,33,Madrid,,,ES.MD.MD,0,28,Provincia,Province,Unknown,Present,,233,n.a. (175),,,,0,,Comarca,Comarca,Unknown,Present,,5828,Alameda del Valle,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.312413852379,0.00267801059908
216052,216052.0,215,ESP,Spain,9,Comunidad Foral de Navarra,Communauté forale de Navarre|Comunidade Foral de Navarra|Comunitat Foral|Navarra,,ES.NA,0,15,Comunidad Autónoma,Autonomous Community,1982,Present,,34,Navarra,,,ES.NA.NV,0,31,Provincia,Province,Unknown,Present,,239,n.a. (185),,,,0,,Comarca,Comarca,Unknown,Present,,6009,Ansoáin,Ansoain,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.06864213226,0.000211085937056
216389,216389.0,215,ESP,Spain,10,Comunidad Valenciana,Valencia|Communauté de Valence|Comunidade Valenciana|Comunidad Valenciana|Comunitat Valenciana,,ES.VC,0,10,Comunidad Autónoma,Autonomous Community,1982,Present,,35,Alicante,Alacant,,ES.VC.AN,0,03,Provincia,Province,Unknown,Present,,248,Alacanti,,,,0,,Comarca,Comarca,Unknown,Present,,6346,Agost,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.400410514032,0.00687673851746
216935,216935.0,215,ESP,Spain,11,Extremadura,Estremadura|Estrémadure,,ES.EX,0,11,Comunidad Autónoma,Autonomous Community,1983,Present,,38,Badajoz,,,ES.EX.BD,0,06,Provincia,Province,Unknown,Present,,283,n.a. (39),,,,0,,Comarca,Comarca,Unknown,Present,,6892,Alburquerque,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,1.5711521626,0.0754990438199
217319,217319.0,215,ESP,Spain,12,Galicia,Galice|Gal¡cia|Galicien|Galiza|Galizia,,ES.GA,0,12,Comunidad Autónoma,Autonomous Community,1981,Present,,40,A Coruña,La Coruña,,ES.GA.AC,0,15,Provincia,Province,Unknown,Present,,305,n.a. (145),,,,0,,Comarca,Comarca,Unknown,Present,,7276,A Baña,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.553571041667,0.0108314804547
217634,217634.0,215,ESP,Spain,13,Islas Baleares,Balearic Islands|Balearen|Balearene|Baleares|Islas Baleares|Baleari|Îles Baléares|Ilhas Baleares|Illes Balears,,ES.PM,0,04,Comunidad Autónoma,Autonomous Community,Unknown,Present,,44,Baleares,,,ES.PM.BL,0,07,Provincia,Province,Unknown,Present,,321,n.a. (51),,,,0,,Comarca,Comarca,Unknown,Present,,7591,Ciutadella de Menorca,Ciudadela,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.965405207867,0.0198587087602
217702,217702.0,215,ESP,Spain,14,Islas Canarias,Canarias|Canary Islands|Canárias|Ilhas Canárias|Canarie|Îles Canaries|Illes Canàries|Kanariøyene|Kanarische Inseln,,ES.CN,0,05,Comunidad Autónoma,Autonomous Community,Unknown,Present,,45,Las Palmas,,,ES.CN.LP,0,35,Provincia,Province,Unknown,Present,,330,n.a. (144),,,,0,,Comarca,Comarca,Unknown,Present,,7660,Agaete,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.359004053294,0.00421625239505
217789,217789.0,215,ESP,Spain,15,La Rioja,Rioja,,ES.LO,0,17,Comunidad Autónoma,Autonomous Community,1982,Present,,47,La Rioja,,,ES.LO.LR,0,26,Provincia,Province,Unknown,Present,,332,Anguiano,,,,0,,Comarca,Comarca,Unknown,Present,,7746,Anguiano,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.684623471631,0.00994365219275
217966,217966.0,215,ESP,Spain,16,País Vasco,Basque Country|Baskenland|Basque Autonomous Community|Basque Provinces|CAV|Comunidad Autonoma Vasca,,ES.PV,0,16,Comunidad Autónoma,Autonomous Community,1979,Present,,48,Álava,Araba,,ES.PV.AA,0,01,Provincia,Province,Unknown,Present,,340,n.a. (1),,,,0,,Comarca,Comarca,Unknown,Present,,7923,Amurrio,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.430930973429,0.00803943683058
218222,218222.0,215,ESP,Spain,17,Principado de Asturias,Astúrias|Asturie|Asturien|Asturies|Astúries|Asturias,,ES.AS,0,03,Comunidad Autónoma,Autonomous Community,1981,Present,,51,Asturias,,,ES.AS.AS,0,33,Provincia,Province,Unknown,Present,,350,Avilés,,,,0,,Comarca,Comarca,Unknown,Present,,8179,Avilés,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,0.323885818676,0.00279316114757
218300,218300.0,215,ESP,Spain,18,Región de Murcia,Murcia|Região de Múrcia|Regió de Múrcia|Région de Murcie|Region of Murcia,,ES.MU,0,14,Comunidad Autónoma,Autonomous Community,1982,Present,,52,Murcia,,,ES.MU.MR,0,30,Provincia,Province,Unknown,Present,,358,Altiplano,,,,0,,Comarca,Comarca,Unknown,Present,,8257,Jumilla,,0,,Municipality,Municipality,Unknown,Present,,0,,0,,,,,,1.34611651558,0.100332492653
218346,218346.0,216,SP-,Spratly islands,0,,,,,0,,,,,,,0,,,,,0,,,,,,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.170887737623,0.000154997658682
218347,218347.0,217,LKA,Sri Lanka,1,Ampara,Amparai,,LK.AP,0,,Distrikkaya,District,1958,Present,,1,Addalachchenai,,,LK.AP.AD,0,,Division,Division,Unknown,Present,,0,,,,,0,,,,,,,0,,,0,,,,,,,0,,0,,,,,,0.336119322784,0.00457779394128
