Master Key,Dataset Key,Segment Type,Association Type,Channel,Hashtag,Handle,Post Content,Post Theme Type,Post Themes,Retweets,Replies,Likes,Post Time,Post Url,Handle Image Url,sentiment,polarity score
1,,Consumer,Brand,weibo,[],美哒哒白菜,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,0,1,2018-05-26 23:20,https://weibo.com/2650036800/GiuoQB8K2?refer_flag=1001030103_,https://tvax2.sinaimg.cn/crop.0.0.834.834.50/9df45a40ly8fi38k2yo6pj20u00qogo9.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],乐淘白菜姐,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,1,0,2018-05-26 23:20,https://weibo.com/6326592834/GiuoOvYlX?refer_flag=1001030103_,https://tvax3.sinaimg.cn/crop.3.5.185.185.50/006U9JNUly8fhxgki6cusj305k05kdgi.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],种草萌萌,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,0,1,2018-05-26 23:20,https://weibo.com/6047189408/GiuoLAsMG?refer_flag=1001030103_,https://tvax2.sinaimg.cn/crop.0.0.224.224.50/006Bfod2ly8fhp279vdomj3068068aa2.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],米奇的每日分享,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,0,1,2018-05-26 23:20,https://weibo.com/1931793851/GiuoJwdXJ?refer_flag=1001030103_,https://tva1.sinaimg.cn/crop.73.63.344.344.50/7324d5bbjw8f9yhtkxyt9j20dw0dw752.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],猫老大的小做派,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,0,1,2018-05-26 23:20,https://weibo.com/5747171236/GiuoJeAu5?refer_flag=1001030103_,https://tvax3.sinaimg.cn/crop.0.12.1242.1242.50/006gWxMgly8fem14boeh4j30yi0z677q.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],爱种草的梦奇,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,0,1,2018-05-26 23:20,https://weibo.com/1875646117/GiuoIF6xh?refer_flag=1001030103_,https://tvax4.sinaimg.cn/crop.173.30.444.444.50/6fcc16a5ly8fjiuizew1vj20m80etmxq.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],蓝小二优惠推荐,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,0,1,2018-05-26 23:20,https://weibo.com/1867705033/GiuoI2ErZ?refer_flag=1001030103_,https://tvax2.sinaimg.cn/crop.0.0.221.221.50/6f52eac9ly8ffqq6vptx0j2068069aa6.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,[],种草小公举安妮,【39.9】SK-II前男友面膜【59.9】ahc水乳两件套【19.9】kiss me眼线液笔 |【200元券... |【60元券】... |【40元券】... ​,,[],0,0,1,2018-05-26 23:20,https://weibo.com/1856045105/GiuoHcwZo?refer_flag=1001030103_,https://tvax2.sinaimg.cn/crop.213.133.533.533.50/6ea10031ly8fm5zxs4j43j20qo0m8wew.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,"['#SK-II#', '#一瓶焕颜#']",段茹婷,#SK-II##一瓶焕颜# 美美哒 ​,,[],1,0,0,2018-05-26 23:12,https://weibo.com/1807235384/GiulE3XV6?refer_flag=1001030103_,https://tvax3.sinaimg.cn/crop.0.0.1242.1242.50/6bb83938ly8fqzrg625vtj20yi0yijuj.jpg,Neutral,0.0
1,,Consumer,Brand,weibo,"['#share my cosmetic#', '#开瓶[超话]#']",akiko愛醬,"#share my cosmetic##开瓶[超话]# SK-II肌源修护赋活紧致精华霜.（俗稱：SKll大紅瓶）传说中的多功能多修復的面霜.主打：立体紧致並含有”Radical New Age Complex成份，为老化细胞注满能量，令肌肤饱满紧致保持水潤，提升膠原蛋白合成，而達到抗衰老和多重功效的修護.❤️使用心得：這是一款挺神 ​
			...展开全文c",,['Freedom'],0,0,1,2018-05-26 23:01,https://weibo.com/1765145230/Giuhaj2XJ?refer_flag=1001030103_,https://tvax3.sinaimg.cn/crop.7.0.1228.1228.50/6935fa8ely8fm6y3fzcllj20yi0y4adt.jpg,Neutral,0.1905785123966942
