politician,label
http://dbpedia.org/resource/Madhukeshwar_Desai,Madhukeshwar Desai
http://dbpedia.org/resource/Ram_Chandra_Yadav,Ram Chandra Yadav
http://dbpedia.org/resource/Shashikala_Annasaheb_Jolle,Shashikala Annasaheb Jolle
http://dbpedia.org/resource/Bhupender_Yadav,Bhupender Yadav
http://dbpedia.org/resource/Chhedi_Paswan,Chhedi Paswan
http://dbpedia.org/resource/Gopal_Bhargava,Gopal Bhargava
http://dbpedia.org/resource/Jalam_Singh_Patel,Jalam Singh Patel
http://dbpedia.org/resource/Kanna_Lakshminarayana,Kanna Lakshminarayana
http://dbpedia.org/resource/Mahendra_Hardia,Mahendra Hardia
http://dbpedia.org/resource/Michael_Lobo_(politician),Michael Lobo
http://dbpedia.org/resource/Naresh_Gaur,Naresh Gaur
http://dbpedia.org/resource/Parvesh_Verma,Parvesh Verma
http://dbpedia.org/resource/Ramvichar_Netam,Ramvichar Netam
http://dbpedia.org/resource/Shankarbhai_Vegad,Shankarbhai Vegad
http://dbpedia.org/resource/Usha_Thakur,Usha Thakur
http://dbpedia.org/resource/C.N._Ashwath_Narayan,C.N. Ashwath Narayan
http://dbpedia.org/resource/George_Baker_(Bengali_actor),George Baker
http://dbpedia.org/resource/Ram_Lal,Ram Lal
http://dbpedia.org/resource/Narpat_Singh_Rajvi,Narpat Singh Rajvi
http://dbpedia.org/resource/Poonam_Mahajan,Poonam Mahajan
http://dbpedia.org/resource/Prakash_Javadekar,Prakash Javadekar
http://dbpedia.org/resource/Saroj_Pandey,Saroj Pandey
http://dbpedia.org/resource/Murli_Manohar_Joshi,Murli Manohar Joshi
http://dbpedia.org/resource/Bangaru_Laxman,Bangaru Laxman
http://dbpedia.org/resource/Sahib_Singh_Verma,Sahib Singh Verma
http://dbpedia.org/resource/Satyanarayan_Jatiya,Satyanarayan Jatiya
http://dbpedia.org/resource/Sumitra_Mahajan,Sumitra Mahajan
http://dbpedia.org/resource/Sunder_Lal_Patwa,Sunder Lal Patwa
http://dbpedia.org/resource/Parshuram_Gangwar,Parshuram Gangwar
http://dbpedia.org/resource/Shaina_NC,Shaina NC
http://dbpedia.org/resource/Dinanath_Tiwari,Dinanath Tiwari
http://dbpedia.org/resource/K._G._Marar,K. G. Marar
http://dbpedia.org/resource/M._S._Kumar,M. S. Kumar
http://dbpedia.org/resource/M._T._Ramesh,M. T. Ramesh
http://dbpedia.org/resource/Pasha_Patel,Pasha Patel
