politician,label
http://dbpedia.org/resource/Jiva_Pandu_Gavit,Jiva Pandu Gavit
http://dbpedia.org/resource/K._K._Jayachandran,K. K. Jayachandran
http://dbpedia.org/resource/K._K._Lathika,K. K. Lathika
http://dbpedia.org/resource/K._K._Narayanan,K. K. Narayanan
http://dbpedia.org/resource/K._K._Ramachandran_Nair,K. K. Ramachandran Nair
http://dbpedia.org/resource/K._Kunhammad,K. Kunhammad
http://dbpedia.org/resource/K._S._Saleekha,K. S. Saleekha
http://dbpedia.org/resource/K._Somaprasad,K. Somaprasad
http://dbpedia.org/resource/K._V._Vijayadas,K. V. Vijayadas
http://dbpedia.org/resource/M._Chandran,M. Chandran
http://dbpedia.org/resource/M._Noushad_(politician),M. Noushad
http://dbpedia.org/resource/M_Swaraj,M Swaraj
http://dbpedia.org/resource/Manik_Sanyal,Manik Sanyal
http://dbpedia.org/resource/Matilal_Hansda,Matilal Hansda
http://dbpedia.org/resource/P._Aisha_Potty,P. Aisha Potty
http://dbpedia.org/resource/Purushan_Kadalundy,Purushan Kadalundy
http://dbpedia.org/resource/R._Rajesh,R. Rajesh
http://dbpedia.org/resource/Robin_Sen,Robin Sen
http://dbpedia.org/resource/V._Chenthamarakshan,V. Chenthamarakshan
http://dbpedia.org/resource/V._Sivankutty,V. Sivankutty
http://dbpedia.org/resource/Veena_George,Veena George
http://dbpedia.org/resource/Ananda_Pathak,Ananda Pathak
http://dbpedia.org/resource/Bharati_Ray,Bharati Ray
http://dbpedia.org/resource/Malini_Bhattacharya,Malini Bhattacharya
http://dbpedia.org/resource/Radhika_Ranjan_Pramanick,Radhika Ranjan Pramanick
http://dbpedia.org/resource/Ratanlal_Brahmin,Ratanlal Brahmin
http://dbpedia.org/resource/Sarla_Maheshwari,Sarla Maheshwari
http://dbpedia.org/resource/Susanta_Chakraborty,Susanta Chakraborty
http://dbpedia.org/resource/T._P._Ramakrishnan,T. P. Ramakrishnan
http://dbpedia.org/resource/Sabitha_Beegam,Sabitha Beegam
http://dbpedia.org/resource/Saradish_Roy,Saradish Roy
http://dbpedia.org/resource/Satyagopal_Misra,Satyagopal Misra
http://dbpedia.org/resource/V._Rajendrababu,V. Rajendrababu
http://dbpedia.org/resource/K._P._Kurup,K. P. Kurup
