"name","label"
"http://dbpedia.org/resource/Shivajirao_Patil_Nilangekar","Shivajirao Patil Nilangekar"
"http://dbpedia.org/resource/Sukdeo_Paswan","Sukdeo Paswan"
"http://dbpedia.org/resource/Sushila_Kerketta","Sushila Kerketta"
"http://dbpedia.org/resource/Thalekunnil_Basheer","Thalekunnil Basheer"
"http://dbpedia.org/resource/Venkatesh_Nayak","Venkatesh Nayak"
"http://dbpedia.org/resource/Bulaki_Das_Kalla","Bulaki Das Kalla"
"http://dbpedia.org/resource/Giani_Gurmukh_Singh_Musafir","Giani Gurmukh Singh Musafir"
"http://dbpedia.org/resource/R._Gundu_Rao","R. Gundu Rao"
"http://dbpedia.org/resource/S._Nijalingappa","S. Nijalingappa"
"http://dbpedia.org/resource/Satyendra_Narayan_Sinha","Satyendra Narayan Sinha"
"http://dbpedia.org/resource/P._J._Kurien","P. J. Kurien"
"http://dbpedia.org/resource/Arvinder_Singh_Lovely","Arvinder Singh Lovely"
"http://dbpedia.org/resource/Ashok_Chavan","Ashok Chavan"
"http://dbpedia.org/resource/Chandrashekhar_Singh","Chandrashekhar Singh"
"http://dbpedia.org/resource/K._Kamaraj","K. Kamaraj"
"http://dbpedia.org/resource/Kona_Prabhakara_Rao","Kona Prabhakara Rao"
"http://dbpedia.org/resource/Maragatham_Chandrasekar","Maragatham Chandrasekar"
"http://dbpedia.org/resource/Narasingha_Mishra","Narasingha Mishra"
"http://dbpedia.org/resource/O._V._Alagesan","O. V. Alagesan"
"http://dbpedia.org/resource/P._Kakkan","P. Kakkan"
"http://dbpedia.org/resource/Rahimtulla_M._Sayani","Rahimtulla M. Sayani"
"http://dbpedia.org/resource/Sadhana_Sthapak","Sadhana Sthapak"
"http://dbpedia.org/resource/Indira_Gandhi","Indira Gandhi"
"http://dbpedia.org/resource/Jawaharlal_Nehru","Jawaharlal Nehru"
"http://dbpedia.org/resource/Rajiv_Gandhi","Rajiv Gandhi"
"http://dbpedia.org/resource/D._Devaraj_Urs","D. Devaraj Urs"
"http://dbpedia.org/resource/Sanjay_Gandhi","Sanjay Gandhi"
"http://dbpedia.org/resource/Sanjay_Singh","Sanjay Singh"
"http://dbpedia.org/resource/Santosh_Mohan_Dev","Santosh Mohan Dev"
"http://dbpedia.org/resource/Sukh_Ram","Sukh Ram"
"http://dbpedia.org/resource/Surendra_Prakash_Goyal","Surendra Prakash Goyal"
"http://dbpedia.org/resource/Govinda_(actor)","Govinda (actor)"
"http://dbpedia.org/resource/Govindrao_Adik","Govindrao Adik"
"http://dbpedia.org/resource/Jyoti_Mirdha","Jyoti Mirdha"
"http://dbpedia.org/resource/M._Mayandi_Nadar","M. Mayandi Nadar"
"http://dbpedia.org/resource/Mukesh_Goud","Mukesh Goud"
"http://dbpedia.org/resource/Narendra_Budania","Narendra Budania"
"http://dbpedia.org/resource/P._Thanulinga_Nadar","P. Thanulinga Nadar"
"http://dbpedia.org/resource/Ponnusami_Nadar","Ponnusami Nadar"
"http://dbpedia.org/resource/Prem_Khandu_Thungan","Prem Khandu Thungan"
"http://dbpedia.org/resource/Prem_Singh_Brahma","Prem Singh Brahma"
"http://dbpedia.org/resource/Rajendra_Darda","Rajendra Darda"
"http://dbpedia.org/resource/Ram_Niwas_Mirdha","Ram Niwas Mirdha"
"http://dbpedia.org/resource/Richpal_Singh_Mirdha","Richpal Singh Mirdha"
"http://dbpedia.org/resource/Salman_Khurshid","Salman Khurshid"
"http://dbpedia.org/resource/Sandeep_Dikshit","Sandeep Dikshit"
"http://dbpedia.org/resource/Sukhjinder_Singh_Randhawa","Sukhjinder Singh Randhawa"
"http://dbpedia.org/resource/Tarkeshwar_Pandey","Tarkeshwar Pandey"
"http://dbpedia.org/resource/Vidya_Charan_Shukla","Vidya Charan Shukla"
"http://dbpedia.org/resource/Vidya_Stokes","Vidya Stokes"
"http://dbpedia.org/resource/Vijay_J._Darda","Vijay J. Darda"
"http://dbpedia.org/resource/Amarnath_Vidyalankar","Amarnath Vidyalankar"
"http://dbpedia.org/resource/Anwara_Taimur","Anwara Taimur"
"http://dbpedia.org/resource/E._V._K._Sampath","E. V. K. Sampath"
"http://dbpedia.org/resource/Jagannath_Pahadia","Jagannath Pahadia"
"http://dbpedia.org/resource/R._Ramanathan_Chettiar","R. Ramanathan Chettiar"
"http://dbpedia.org/resource/Raj_Babbar","Raj Babbar"
"http://dbpedia.org/resource/S._R._Balasubramaniam","S. R. Balasubramaniam"
"http://dbpedia.org/resource/Sisir_Adhikari","Sisir Adhikari"
"http://dbpedia.org/resource/Renuka_Devi_Barkataki","Renuka Devi Barkataki"
"http://dbpedia.org/resource/Syed_Ahmed_(politician)","Syed Ahmed (politician)"
"http://dbpedia.org/resource/Virendra_Jagtap","Virendra Jagtap"
"http://dbpedia.org/resource/Bhim_Sen_Sachar","Bhim Sen Sachar"
"http://dbpedia.org/resource/Bindeshwari_Dubey","Bindeshwari Dubey"
"http://dbpedia.org/resource/Grandhi_Srinivas","Grandhi Srinivas"
"http://dbpedia.org/resource/Madhusudan_Mistry","Madhusudan Mistry"
"http://dbpedia.org/resource/Najma_Heptulla","Najma Heptulla"
"http://dbpedia.org/resource/Raghuveer_Meena","Raghuveer Meena"
"http://dbpedia.org/resource/Ratna_Singh","Ratna Singh"
"http://dbpedia.org/resource/Sitaram_Kesri","Sitaram Kesri"
"http://dbpedia.org/resource/K._Karunakaran","K. Karunakaran"
"http://dbpedia.org/resource/Kotla_Vijaya_Bhaskara_Reddy","Kotla Vijaya Bhaskara Reddy"
"http://dbpedia.org/resource/Madhavrao_Scindia","Madhavrao Scindia"
"http://dbpedia.org/resource/Mukut_Mithi","Mukut Mithi"
"http://dbpedia.org/resource/N._S._V._Chitthan","N. S. V. Chitthan"
"http://dbpedia.org/resource/Syed_Mir_Qasim","Syed Mir Qasim"
"http://dbpedia.org/resource/Badruddin_Shaikh","Badruddin Shaikh"
"http://dbpedia.org/resource/Paban_Singh_Ghatowar","Paban Singh Ghatowar"
"http://dbpedia.org/resource/Abdul_Shafee","Abdul Shafee"
"http://dbpedia.org/resource/Bakshi_Abdur_Rashid","Bakshi Abdur Rashid"
"http://dbpedia.org/resource/Basori_Singh_Masram","Basori Singh Masram"
"http://dbpedia.org/resource/C._L._Ruala","C. L. Ruala"
"http://dbpedia.org/resource/Devwrat_Singh","Devwrat Singh"
"http://dbpedia.org/resource/G._Raj_Kumar","G. Raj Kumar"
"http://dbpedia.org/resource/Gajendra_Singh_Rajukhedi","Gajendra Singh Rajukhedi"
"http://dbpedia.org/resource/Giasuddin_Molla","Giasuddin Molla"
"http://dbpedia.org/resource/Hari_Vinayak_Pataskar","Hari Vinayak Pataskar"
"http://dbpedia.org/resource/Husain_Dalwai","Husain Dalwai"
"http://dbpedia.org/resource/Jyoti_Kalani","Jyoti Kalani"
"http://dbpedia.org/resource/Mangru_Ganu_Uikey","Mangru Ganu Uikey"
"http://dbpedia.org/resource/Manik_Singh","Manik Singh"
"http://dbpedia.org/resource/N._R._Thiagarajan","N. R. Thiagarajan"
"http://dbpedia.org/resource/Narayan_Singh_Amlabe","Narayan Singh Amlabe"
"http://dbpedia.org/resource/P._Ramachandran","P. Ramachandran"
"http://dbpedia.org/resource/Premchand_Guddu","Premchand Guddu"
"http://dbpedia.org/resource/Sajjan_Singh_Verma","Sajjan Singh Verma"
"http://dbpedia.org/resource/Seth_Achal_Singh","Seth Achal Singh"
"http://dbpedia.org/resource/Srikant_Kumar_Jena","Srikant Kumar Jena"
"http://dbpedia.org/resource/T._N._Anandanayaki","T. N. Anandanayaki"
"http://dbpedia.org/resource/Vincent_Pala","Vincent Pala"
"http://dbpedia.org/resource/Wilfred_de_Souza","Wilfred de Souza"
"http://dbpedia.org/resource/Achyutanand_Mishra","Achyutanand Mishra"
"http://dbpedia.org/resource/Aziz_Qureshi","Aziz Qureshi"
"http://dbpedia.org/resource/Binodanand_Jha","Binodanand Jha"
"http://dbpedia.org/resource/Chetram_Gangwar","Chetram Gangwar"
"http://dbpedia.org/resource/Mishrilal_Gangwal","Mishrilal Gangwal"
"http://dbpedia.org/resource/P._S._Karthikeyan","P. S. Karthikeyan"
"http://dbpedia.org/resource/Usha_Rani_Tomar","Usha Rani Tomar"
"http://dbpedia.org/resource/Yagya_Datt_Sharma_(politician)","Yagya Datt Sharma (politician)"
"http://dbpedia.org/resource/Ramanjit_Singh_Sikki","Ramanjit Singh Sikki"
"http://dbpedia.org/resource/Uday_Mudliyar","Uday Mudliyar"
"http://dbpedia.org/resource/Aruna_Chaudhary","Aruna Chaudhary"
"http://dbpedia.org/resource/Ashwani_Sekhri","Ashwani Sekhri"
"http://dbpedia.org/resource/Chandrabhan_Singh","Chandrabhan Singh"
"http://dbpedia.org/resource/H._Gopal_Bhandary","H. Gopal Bhandary"
